agent,arguments,games,average_score,average_time,win_rate
MinimaxAgent,,20,-359.15,1.8634939432144164,0.0
AlphaBetaAgent,,20,-506.35,1.963912546634674,0.0
ExpectimaxAgent,,20,-337.2,1.593590223789215,5.0
MCTSAgent,"simulations=15,rolloutDepth=6",20,205.65,4.7062074661254885,20.0
HybridMCTSAgent,"simulations=20,rolloutDepth=8",20,661.1,12.968266880512237,60.0
