layout,configuration,agent,depth,simulations,rollout_depth,games,average_score,median_score,std_score,min_score,max_score,wins,win_rate,total_time,average_time,status,error
trickyClassic,MCTS_s10_r4,MCTSAgent,,10,4,50,733.18,595.5,881.4461375883315,-455.0,2738.0,10,20.0,88.88802146911621,1.7777604293823241,OK,
trickyClassic,MCTS_s10_r6,MCTSAgent,,10,6,50,691.84,657.0,751.8779851078205,-390.0,2377.0,4,8.0,99.95214462280273,1.9990428924560546,OK,
trickyClassic,MCTS_s10_r8,MCTSAgent,,10,8,50,258.38,41.0,643.0429855184565,-438.0,2548.0,0,0.0,94.94153928756714,1.8988307857513427,OK,
trickyClassic,MCTS_s20_r4,MCTSAgent,,20,4,50,949.36,1032.0,736.7095005246405,-413.0,2287.0,16,32.0,196.68485975265503,3.933697195053101,OK,
trickyClassic,MCTS_s20_r6,MCTSAgent,,20,6,50,707.46,600.0,846.6947793554388,-406.0,3286.0,8,16.0,235.85863494873047,4.7171726989746094,OK,
trickyClassic,MCTS_s20_r8,MCTSAgent,,20,8,50,469.76,306.0,697.1994871612852,-470.0,2174.0,4,8.0,273.39310669898987,5.467862133979797,OK,
trickyClassic,MCTS_s40_r4,MCTSAgent,,40,4,50,845.34,695.5,783.7609904837582,-297.0,3208.0,14,28.0,401.3120777606964,8.026241555213929,OK,
trickyClassic,MCTS_s40_r6,MCTSAgent,,40,6,50,937.5957446808511,986.0,654.7397976220739,-381.0,1990.0,10,21.27659574468085,636.3700723648071,12.727401447296142,PARTIAL,3 game(s) timed out after 25s
trickyClassic,MCTS_s40_r8,MCTSAgent,,40,8,50,527.3695652173913,586.0,610.7048881304893,-425.0,1761.0,0,0.0,573.1893177032471,11.463786354064942,PARTIAL,4 game(s) timed out after 25s
trickyClassic,Hybrid_s10_r4,HybridMCTSAgent,,10,4,50,1359.64,1413.5,726.3273776967496,-357.0,2822.0,24,48.0,103.44956469535828,2.0689912939071657,OK,
trickyClassic,Hybrid_s10_r6,HybridMCTSAgent,,10,6,50,1255.74,1162.5,877.8528259803193,-519.0,3189.0,20,40.0,156.49433016777039,3.129886603355408,OK,
trickyClassic,Hybrid_s10_r8,HybridMCTSAgent,,10,8,50,1044.84,1067.0,716.5893811831779,-198.0,2995.0,13,26.0,215.500905752182,4.31001811504364,OK,
trickyClassic,Hybrid_s20_r4,HybridMCTSAgent,,20,4,50,1275.08,1329.0,811.9344459313178,-459.0,2841.0,22,44.0,206.8148009777069,4.1362960195541385,OK,
trickyClassic,Hybrid_s20_r6,HybridMCTSAgent,,20,6,50,950.46,895.0,729.5440905113275,-647.0,2251.0,11,22.0,322.0098361968994,6.440196723937988,OK,
trickyClassic,Hybrid_s20_r8,HybridMCTSAgent,,20,8,50,991.78,824.0,883.9776820989201,-448.0,2882.0,14,28.0,414.7474296092987,8.294948592185975,OK,
trickyClassic,Hybrid_s40_r4,HybridMCTSAgent,,40,4,50,875.6122448979592,857.0,742.936594881155,-443.0,2593.0,12,24.489795918367346,404.4969074726105,8.089938149452209,PARTIAL,1 game(s) timed out after 25s
trickyClassic,Hybrid_s40_r6,HybridMCTSAgent,,40,6,50,1032.7708333333333,940.0,822.0092984819455,-539.0,2964.0,8,16.666666666666668,589.2772459983826,11.785544919967652,PARTIAL,2 game(s) timed out after 25s
trickyClassic,Hybrid_s40_r8,HybridMCTSAgent,,40,8,50,798.4883720930233,897.0,863.5077514222639,-513.0,2622.0,5,11.627906976744185,730.0987846851349,14.601975693702698,PARTIAL,7 game(s) timed out after 25s
minimaxClassic,Minimax_d1,MinimaxAgent,1,,,50,290.96,512.0,422.58663934760415,-500.0,516.0,39,78.0,4.855515480041504,0.09711030960083007,OK,
minimaxClassic,Minimax_d2,MinimaxAgent,2,,,50,70.58,512.0,506.7118526664371,-499.0,516.0,28,56.0,4.826600551605225,0.09653201103210449,OK,
minimaxClassic,Minimax_d3,MinimaxAgent,3,,,50,-172.92,-493.0,474.8428242640948,-501.0,514.0,16,32.0,5.040081262588501,0.10080162525177001,OK,
minimaxClassic,AlphaBeta_d1,AlphaBetaAgent,1,,,50,88.54,510.0,503.75075672197175,-503.0,516.0,29,58.0,3.960841178894043,0.07921682357788086,OK,
minimaxClassic,AlphaBeta_d2,AlphaBetaAgent,2,,,50,69.38,511.0,506.25043774231517,-505.0,515.0,28,56.0,4.572943925857544,0.09145887851715089,OK,
minimaxClassic,AlphaBeta_d3,AlphaBetaAgent,3,,,50,-71.16,-493.0,502.8041108399483,-502.0,515.0,21,42.0,4.773916721343994,0.09547833442687988,OK,
minimaxClassic,Expectimax_d1,ExpectimaxAgent,1,,,50,109.38,508.0,499.20131679902204,-503.0,516.0,30,60.0,4.751553297042847,0.09503106594085693,OK,
minimaxClassic,Expectimax_d2,ExpectimaxAgent,2,,,50,129.22,509.0,494.32870539711917,-502.0,516.0,31,62.0,4.40465235710144,0.08809304714202881,OK,
