layout,configuration,agent,depth,simulations,rollout_depth,games,average_score,median_score,std_score,min_score,max_score,wins,win_rate,total_time,average_time,status,error
mediumClassic,AlphaBeta_d3,AlphaBetaAgent,3,,,50,,414.5,796.4816690936004,-1476.0,1751.0,17,34.0,199.44808101654053,3.9889616203308105,OK,
mediumClassic,Expectimax_d1,ExpectimaxAgent,1,,,50,,-422.0,984.4561732263891,-5523.0,254.0,0,0.0,41.9753942489624,0.839507884979248,OK,
mediumClassic,Expectimax_d2,ExpectimaxAgent,2,,,50,,-522.0,787.0548496999241,-3297.0,1171.0,2,4.0,97.54101824760437,1.9508203649520874,OK,
mediumClassic,Expectimax_d3,ExpectimaxAgent,3,,,50,,-357.5,1311.015095179012,-4358.0,1519.0,7,14.0,452.14019656181335,9.042803931236268,OK,
mediumClassic,MCTS_s10_r4,MCTSAgent,,10,4,50,,1264.0,669.981389336105,-280.0,2013.0,31,62.0,150.61581921577454,3.0123163843154908,OK,
mediumClassic,MCTS_s10_r6,MCTSAgent,,10,6,50,,367.5,559.1133162021898,-413.0,1796.0,9,18.0,176.47170686721802,3.5294341373443605,OK,
mediumClassic,MCTS_s10_r8,MCTSAgent,,10,8,50,,236.0,548.1224626327161,-440.0,1681.0,9,18.0,240.65941786766052,4.81318835735321,OK,
mediumClassic,MCTS_s20_r4,MCTSAgent,,20,4,50,,1338.0,591.989491892076,-257.0,1888.0,38,76.0,334.5847432613373,6.691694865226745,OK,
mediumClassic,MCTS_s20_r6,MCTSAgent,,20,6,50,,612.0,716.2428093657102,-441.0,2002.0,23,46.0,426.59170269966125,8.531834053993226,OK,
mediumClassic,MCTS_s20_r8,MCTSAgent,,20,8,50,,199.5,537.8024614936719,-471.0,1596.0,8,16.0,568.0904304981232,11.361808609962463,OK,
mediumClassic,MCTS_s40_r4,MCTSAgent,,40,4,50,,1308.0,554.1945404390792,-23.0,1979.0,37,74.0,642.8134825229645,12.85626965045929,OK,
mediumClassic,MCTS_s40_r6,MCTSAgent,,40,6,50,,1294.0,516.9937582788508,-115.0,1870.0,36,72.0,1142.5100564956665,22.85020112991333,OK,
mediumClassic,MCTS_s40_r8,MCTSAgent,,40,8,50,,371.5,597.227921078973,-484.0,1762.0,17,34.0,1208.247445344925,24.1649489068985,OK,
mediumClassic,Hybrid_s10_r4,HybridMCTSAgent,,10,4,50,,1487.0,458.20376585761414,138.0,1913.0,41,82.0,140.13052010536194,2.8026104021072387,OK,
mediumClassic,Hybrid_s10_r6,HybridMCTSAgent,,10,6,50,,1426.0,502.5201801635743,-39.0,2017.0,39,78.0,263.6207284927368,5.272414569854736,OK,
mediumClassic,Hybrid_s10_r8,HybridMCTSAgent,,10,8,50,,1406.0,605.2961290245104,-463.0,1851.0,36,72.0,375.56603956222534,7.511320791244507,OK,
mediumClassic,Hybrid_s20_r4,HybridMCTSAgent,,20,4,50,,1455.5,381.3862865347122,308.0,2079.0,46,92.0,309.4100341796875,6.18820068359375,OK,
mediumClassic,Hybrid_s20_r6,HybridMCTSAgent,,20,6,50,,1461.5,607.749536862627,-475.0,1989.0,40,80.0,550.6307904720306,11.012615809440613,OK,
mediumClassic,Hybrid_s20_r8,HybridMCTSAgent,,20,8,50,,1227.0,644.3011264070254,-193.0,2114.0,29,58.0,797.4189522266388,15.948379044532777,OK,
mediumClassic,Hybrid_s40_r4,HybridMCTSAgent,,40,4,50,,1446.5,491.7892358340812,-382.0,2039.0,43,86.0,722.7300717830658,14.454601435661315,OK,
